fecha,hora_inicio,hora_final,motocicletas,auto_particular,camioneta_particular,taxi_anterior,taxi_nuevo,combi ,microbus,autobus,pick_up,camion_ligero,camion_pesado,trailer,camion_basura,total
3/25/15,7:34:00 AM,7:34:59 AM,0,10,4,9,5,1,1,4,0,1,0,0,0,35
3/25/15,7:35:00 AM,7:35:59 AM,0,7,1,6,2,3,2,1,0,1,0,0,0,23
3/25/15,7:36:00 AM,7:36:59 AM,1,3,3,13,3,4,0,2,1,2,0,0,0,32
3/25/15,7:37:00 AM,7:37:59 AM,1,11,2,10,2,2,2,0,0,1,0,0,0,31
3/25/15,7:38:00 AM,7:38:59 AM,0,6,2,9,8,1,1,1,0,0,0,0,0,28
3/25/15,7:39:00 AM,7:39:59 AM,0,5,0,12,4,2,2,4,1,0,0,0,0,30
3/25/15,7:40:00 AM,7:40:59 AM,1,7,2,6,7,3,1,1,1,0,0,0,0,29
3/25/15,7:41:00 AM,7:41:59 AM,0,11,6,10,2,3,0,4,1,0,0,0,0,37
3/25/15,7:42:00 AM,7:42:59 AM,0,14,1,12,2,3,1,1,0,0,0,0,0,34
3/25/15,7:43:00 AM,7:43:59 AM,1,4,3,7,2,2,0,2,1,0,0,0,0,22
3/25/15,7:44:00 AM,7:44:59 AM,0,8,1,13,6,1,1,1,0,1,0,0,0,32
3/25/15,7:45:00 AM,7:45:59 AM,0,10,4,5,3,2,1,4,0,0,0,0,0,29
3/25/15,7:46:00 AM,7:46:59 AM,0,11,3,7,2,1,3,0,0,0,0,0,0,27
3/25/15,7:47:00 AM,7:47:59 AM,0,6,0,5,1,6,0,1,1,0,0,0,0,20
3/25/15,7:48:00 AM,7:48:59 AM,0,8,2,7,2,1,1,3,0,3,0,0,0,27
3/25/15,7:49:00 AM,7:49:59 AM,3,7,6,7,0,3,4,0,0,0,0,0,0,30
3/25/15,7:50:00 AM,7:50:59 AM,1,9,2,5,7,3,1,1,1,0,0,0,0,30
3/25/15,7:51:00 AM,7:51:59 AM,3,5,1,7,2,2,1,1,0,0,0,0,0,22
3/25/15,7:52:00 AM,7:52:59 AM,1,10,0,8,4,0,3,0,0,0,0,0,0,26
3/25/15,7:53:00 AM,7:53:59 AM,0,9,1,4,2,1,1,1,0,0,0,0,0,19
3/25/15,7:54:00 AM,7:54:59 AM,0,11,2,9,3,2,0,3,0,0,0,0,0,30
3/25/15,7:55:00 AM,7:55:59 AM,0,11,1,10,6,3,1,2,0,1,0,0,0,35
3/25/15,7:56:00 AM,7:56:59 AM,0,12,0,8,2,3,1,4,0,0,0,0,0,30
3/25/15,7:57:00 AM,7:57:59 AM,1,9,5,6,1,2,1,2,0,0,0,0,0,27
3/25/15,7:58:00 AM,7:58:59 AM,2,5,2,6,1,3,2,1,0,0,0,0,0,22
3/25/15,7:59:00 AM,7:59:59 AM,1,9,3,4,0,3,0,1,0,0,1,0,0,22
3/25/15,8:00:00 AM,8:00:59 AM,2,6,2,7,2,3,3,3,0,0,0,0,0,28
3/25/15,8:01:00 AM,8:01:59 AM,0,7,2,7,1,1,0,4,2,1,0,0,0,25
3/25/15,8:02:00 AM,8:02:59 AM,0,11,1,6,6,5,2,2,0,0,0,0,0,33
3/25/15,8:03:00 AM,8:03:59 AM,0,7,2,12,2,4,0,1,0,0,0,0,0,28
3/25/15,8:04:00 AM,8:04:59 AM,0,8,3,4,2,3,0,2,1,0,0,0,0,23
3/25/15,8:05:00 AM,8:05:59 AM,0,15,3,1,2,3,2,1,0,0,0,0,0,27
3/25/15,8:06:00 AM,8:06:59 AM,0,3,2,10,1,2,0,1,0,0,0,0,0,19
3/25/15,8:07:00 AM,8:07:59 AM,2,9,2,8,1,4,1,1,0,1,0,0,0,29
3/25/15,8:08:00 AM,8:08:59 AM,0,9,5,15,1,1,0,2,0,0,0,0,0,33
3/25/15,8:09:00 AM,8:09:59 AM,1,7,3,9,1,2,1,2,0,0,1,0,0,27
3/25/15,8:10:00 AM,8:10:59 AM,1,6,2,9,5,8,1,3,0,0,0,0,0,35
3/25/15,8:11:00 AM,8:11:59 AM,0,6,5,11,0,2,3,1,0,0,0,0,0,28
3/25/15,8:12:00 AM,8:12:59 AM,0,7,2,11,2,5,0,3,0,0,0,0,0,30
3/25/15,8:13:00 AM,8:13:59 AM,1,7,2,9,6,3,1,4,0,0,0,0,0,33
3/25/15,8:14:00 AM,8:14:59 AM,0,12,0,12,3,2,0,2,1,0,0,0,0,32
3/25/15,8:15:00 AM,8:15:59 AM,0,11,1,10,5,1,0,1,0,1,0,0,0,30
3/25/15,8:16:00 AM,8:16:59 AM,1,13,0,7,2,4,2,3,0,0,0,0,0,32
3/25/15,8:17:00 AM,8:17:59 AM,0,14,3,9,0,2,1,2,0,0,0,0,0,31
3/25/15,8:18:00 AM,8:18:59 AM,0,8,0,13,3,6,2,3,0,1,1,0,0,37
3/25/15,8:19:00 AM,8:19:59 AM,0,8,5,12,2,2,1,0,1,0,0,0,0,31
3/25/15,8:20:00 AM,8:20:59 AM,0,2,2,8,7,4,1,4,1,0,0,0,0,29
3/25/15,8:21:00 AM,8:21:59 AM,0,7,0,11,2,1,2,3,0,0,0,0,0,26
3/25/15,8:22:00 AM,8:22:59 AM,0,7,1,14,2,2,0,2,1,0,0,0,0,29
3/25/15,8:23:00 AM,8:23:59 AM,0,1,3,14,4,0,3,1,2,0,0,0,0,28
3/25/15,8:24:00 AM,8:24:59 AM,0,5,4,5,4,3,3,0,0,0,0,0,0,24
3/25/15,8:25:00 AM,8:25:59 AM,0,10,1,7,4,5,1,2,0,1,0,0,0,31
3/25/15,8:26:00 AM,8:26:59 AM,0,11,0,13,1,2,2,2,1,0,0,0,0,32
3/25/15,8:27:00 AM,8:27:59 AM,0,7,2,10,5,1,3,3,1,0,0,0,0,32
3/25/15,8:28:00 AM,8:28:59 AM,0,7,1,8,4,2,2,2,0,0,0,0,0,26
3/25/15,8:29:00 AM,8:29:59 AM,0,10,1,14,1,2,1,0,2,1,0,0,1,33
3/25/15,8:30:00 AM,8:30:59 AM,1,7,4,12,0,1,0,1,0,0,0,0,0,26
3/25/15,8:31:00 AM,8:31:59 AM,0,4,0,8,0,1,1,0,0,0,0,0,0,14
3/25/15,8:32:00 AM,8:32:59 AM,0,4,1,13,3,3,1,5,1,0,0,0,0,31
3/25/15,8:33:00 AM,8:33:59 AM,0,12,1,15,3,2,0,3,2,0,0,0,0,38
3/25/15,8:34:00 AM,8:34:59 AM,0,10,4,10,3,1,1,2,0,1,0,0,0,32
3/25/15,8:35:00 AM,8:35:59 AM,0,6,2,19,4,4,2,1,0,1,0,0,0,39
3/25/15,8:36:00 AM,8:36:59 AM,1,7,4,10,3,4,1,1,0,0,0,0,0,31
3/25/15,8:37:00 AM,8:37:59 AM,0,13,3,10,1,3,0,2,0,1,0,0,0,33
3/25/15,8:38:00 AM,8:38:59 AM,0,9,1,11,1,2,5,0,0,2,0,0,0,31
3/25/15,8:39:00 AM,8:39:59 AM,0,12,2,10,2,1,1,1,0,1,0,0,0,30
3/25/15,8:40:00 AM,8:40:59 AM,0,8,1,13,4,2,1,1,0,0,0,0,0,30
3/25/15,8:41:00 AM,8:41:59 AM,1,6,5,11,1,3,2,2,1,0,0,0,0,32
3/25/15,8:42:00 AM,8:42:59 AM,1,15,1,13,1,1,2,1,0,0,0,0,0,35
3/25/15,8:43:00 AM,8:43:59 AM,0,5,1,8,2,6,3,2,0,0,0,0,0,27
3/25/15,8:44:00 AM,8:44:59 AM,0,11,1,8,2,2,1,1,1,0,0,0,0,27
3/25/15,8:45:00 AM,8:45:59 AM,1,10,0,11,1,0,1,2,0,0,0,0,0,26
3/25/15,8:46:00 AM,8:46:59 AM,0,3,2,12,2,1,4,1,1,0,0,0,0,26
3/25/15,8:47:00 AM,8:47:59 AM,0,9,0,12,1,2,0,2,0,0,1,0,0,27
3/25/15,8:48:00 AM,8:48:59 AM,0,12,1,5,3,2,0,1,1,1,0,0,0,26
3/25/15,8:49:00 AM,8:49:59 AM,2,11,2,6,2,2,0,3,1,0,0,0,0,29
3/25/15,8:50:00 AM,8:50:59 AM,1,5,2,13,3,1,1,2,0,0,0,0,0,28
3/25/15,8:51:00 AM,8:51:59 AM,0,10,1,5,3,0,0,3,1,0,0,0,0,23
3/25/15,8:52:00 AM,8:52:59 AM,0,10,0,8,0,5,0,1,1,0,0,0,0,25
3/25/15,8:53:00 AM,8:53:59 AM,0,6,0,8,2,2,2,1,1,0,0,0,0,22
3/25/15,8:54:00 AM,8:54:59 AM,0,9,1,15,4,0,1,2,0,0,0,0,0,32
3/25/15,8:55:00 AM,8:55:59 AM,0,12,2,11,3,3,1,3,0,0,0,0,0,35
3/25/15,8:56:00 AM,8:56:59 AM,0,6,2,10,2,1,2,1,0,1,0,0,0,25
3/25/15,8:57:00 AM,8:57:59 AM,1,6,1,13,4,3,0,3,1,0,0,0,0,32
3/25/15,8:58:00 AM,8:58:59 AM,0,5,5,3,3,1,1,2,1,0,1,0,0,22
3/25/15,8:59:00 AM,8:59:59 AM,1,17,2,14,1,5,0,1,0,1,1,0,0,43
3/25/15,9:00:00 AM,9:00:59 AM,1,6,2,11,1,1,1,1,0,0,0,0,0,24
3/25/15,9:01:00 AM,9:01:59 AM,0,4,3,8,3,2,2,3,2,0,0,0,0,27
3/25/15,9:02:00 AM,9:02:59 AM,0,9,2,8,3,6,1,2,0,1,0,0,0,32
3/25/15,9:03:00 AM,9:03:59 AM,0,6,2,5,5,3,2,2,1,0,0,0,0,26
3/25/15,9:04:00 AM,9:04:59 AM,0,9,4,11,3,2,0,1,0,0,0,0,1,31
3/25/15,9:05:00 AM,9:05:59 AM,0,7,0,17,2,1,0,3,0,0,0,0,0,30
3/25/15,9:06:00 AM,9:06:59 AM,0,8,0,6,2,1,1,1,0,2,0,0,0,21
3/25/15,9:07:00 AM,9:07:59 AM,0,6,0,9,7,4,1,2,1,0,0,0,0,30
3/25/15,9:08:00 AM,9:08:59 AM,0,9,2,15,1,2,0,4,1,0,0,0,1,35
3/25/15,9:09:00 AM,9:09:59 AM,1,7,0,5,0,2,0,4,0,0,0,0,0,19
3/25/15,9:10:00 AM,9:10:59 AM,0,4,4,8,2,2,2,4,1,0,0,0,0,27
3/25/15,9:11:00 AM,9:11:59 AM,0,9,4,6,4,0,1,1,1,1,1,0,0,28
3/25/15,9:12:00 AM,9:12:59 AM,0,6,4,12,2,2,0,2,1,0,0,0,0,29
3/25/15,9:13:00 AM,9:13:59 AM,0,9,1,12,5,4,0,2,0,0,0,0,0,33
3/25/15,9:14:00 AM,9:14:59 AM,0,6,2,15,2,1,0,1,0,1,1,0,0,29
3/25/15,9:15:00 AM,9:15:59 AM,0,8,2,9,5,4,1,3,0,0,0,0,0,32
3/25/15,9:16:00 AM,9:16:59 AM,1,5,0,14,1,0,1,2,0,0,0,0,0,24
3/25/15,9:17:00 AM,9:17:59 AM,0,13,2,7,5,3,4,1,1,0,0,0,0,36
3/25/15,9:18:00 AM,9:18:59 AM,0,6,2,16,5,3,0,2,0,1,0,0,0,35
3/25/15,9:19:00 AM,9:19:59 AM,1,7,1,7,6,1,3,2,0,0,0,0,0,28
3/25/15,9:20:00 AM,9:20:59 AM,1,9,3,1,6,0,0,2,1,0,0,0,0,23
3/25/15,9:21:00 AM,9:21:59 AM,1,8,1,5,3,1,1,0,0,0,0,0,0,20
3/25/15,9:22:00 AM,9:22:59 AM,1,7,1,5,3,2,2,2,0,0,0,0,0,23
