time,car,microbus,autobus,camion
2015-03-25 07:34:00,24,2,4,1
2015-03-25 07:35:00,15,5,1,1
2015-03-25 07:36:00,19,4,2,2
2015-03-25 07:37:00,23,4,0,1
2015-03-25 07:38:00,23,2,1,0
2015-03-25 07:39:00,21,4,4,0
2015-03-25 07:40:00,20,4,1,0
2015-03-25 07:41:00,23,3,4,0
2015-03-25 07:42:00,28,4,1,0
2015-03-25 07:43:00,13,2,2,0
2015-03-25 07:44:00,27,2,1,1
2015-03-25 07:45:00,18,3,4,0
2015-03-25 07:46:00,20,4,0,0
2015-03-25 07:47:00,12,6,1,0
2015-03-25 07:48:00,17,2,3,3
2015-03-25 07:49:00,14,7,0,0
2015-03-25 07:50:00,21,4,1,0
2015-03-25 07:51:00,14,3,1,0
2015-03-25 07:52:00,22,3,0,0
2015-03-25 07:53:00,15,2,1,0
2015-03-25 07:54:00,23,2,3,0
2015-03-25 07:55:00,27,4,2,1
2015-03-25 07:56:00,22,4,4,0
2015-03-25 07:57:00,16,3,2,0
2015-03-25 07:58:00,12,5,1,0
2015-03-25 07:59:00,13,3,1,1
2015-03-25 08:00:00,15,6,3,0
2015-03-25 08:01:00,15,1,4,1
2015-03-25 08:02:00,23,7,2,0
2015-03-25 08:03:00,21,4,1,0
2015-03-25 08:04:00,14,3,2,0
2015-03-25 08:05:00,18,5,1,0
2015-03-25 08:06:00,14,2,1,0
2015-03-25 08:07:00,18,5,1,1
2015-03-25 08:08:00,25,1,2,0
2015-03-25 08:09:00,17,3,2,1
2015-03-25 08:10:00,20,9,3,0
2015-03-25 08:11:00,17,5,1,0
2015-03-25 08:12:00,20,5,3,0
2015-03-25 08:13:00,22,4,4,0
2015-03-25 08:14:00,27,2,2,0
2015-03-25 08:15:00,26,1,1,1
2015-03-25 08:16:00,22,6,3,0
2015-03-25 08:17:00,23,3,2,0
2015-03-25 08:18:00,24,8,3,2
2015-03-25 08:19:00,22,3,0,0
2015-03-25 08:20:00,17,5,4,0
2015-03-25 08:21:00,20,3,3,0
2015-03-25 08:22:00,23,2,2,0
2015-03-25 08:23:00,19,3,1,0
2015-03-25 08:24:00,14,6,0,0
2015-03-25 08:25:00,21,6,2,1
2015-03-25 08:26:00,25,4,2,0
2015-03-25 08:27:00,22,4,3,0
2015-03-25 08:28:00,19,4,2,0
2015-03-25 08:29:00,25,3,0,2
2015-03-25 08:30:00,19,1,1,0
2015-03-25 08:31:00,12,2,0,0
2015-03-25 08:32:00,20,4,5,0
2015-03-25 08:33:00,30,2,3,0
2015-03-25 08:34:00,23,2,2,1
2015-03-25 08:35:00,29,6,1,1
2015-03-25 08:36:00,20,5,1,0
2015-03-25 08:37:00,24,3,2,1
2015-03-25 08:38:00,21,7,0,2
2015-03-25 08:39:00,24,2,1,1
2015-03-25 08:40:00,25,3,1,0
2015-03-25 08:41:00,18,5,2,0
2015-03-25 08:42:00,29,3,1,0
2015-03-25 08:43:00,15,9,2,0
2015-03-25 08:44:00,21,3,1,0
2015-03-25 08:45:00,22,1,2,0
